Rk,Player,Pos,Tm,Cap Hit
471,Robert Golden\GoldRo00,S,PIT,$1465000
472,Matt Bryant\bryanmat01,K,ATL,$1450000
473,DeVante Parker\ParkDe01,WR,MIA,$1423776
474,Melvin Gordon\GordMe00,RB,LAC,$1404980
475,Josh Kline\KlinJo01,OL,TEN,$1400000
,Garry Gilliam\GillGa01,T,SFO,$1400000
,Jurrell Casey\CaseJu00,DL,TEN,$1400000
,Alex Boone\BoonAl21,T,ARI,$1400000
,Nate Allen\AlleNa99,DB,MIA,$1400000
,Mike Remmers\RemmMi00,T,MIN,$1400000
481,Ronnie Stanley\StanRo00,OT,BAL,$1381106
482,Greg Zuerlein\ZuerGr00,K,LAR,$1375000
483,Eddie Lacy\LacyEd00,RB,SEA,$1365000
484,Teddy Bridgewater\BridTe00,QB,MIN,$1354023
485,Marshawn Lynch\LyncMa00,RB,OAK,$1350000
,Eric Decker\DeckEr00,WR,TEN,$1350000
